#1. Do you use software in your research?,3. Have you had formal training in software development?,4. Which of these is more common in your work?,5. Select any of these that you use regularly to write code for your research.,6. What is your field of research?,7. What is your career stage?,8. My institution is located in:,9. Please share any other comments you may have on the topic.
use,training,own,software,field,career,location
Yes,No,Own,Fortran Shell Scripting,Observational Theory,Postdoc,France
Yes,No,Own,IDL IRAF Fortran Perl SQL HTML/CSS Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,No,Own,IDL Python C Shell Scripting,Theory,Postdoc,Germany
Yes,No,Between,C Fortran Matlab,Theory,Postdoc,United States of America
Yes,No,Between,IDL Python C Perl Shell Scripting Mathematica,Observational,Postdoc,Germany
Yes,No,Own,Python Fortran Perl Julia R SQL Shell Scripting HTML/CSS,Theory,Postdoc,Argentina
Yes,No,Others,IRAF Python Perl Shell Scripting,Observational,Postdoc,Brazil
Yes,No,Between,IDL Python,Observational,Postdoc,Spain
Yes,No,Between,IDL Python Shell Scripting,Observational,Postdoc,Germany
Yes,No,Between,IRAF Python R SQL,Observational,Postdoc,United Kingdom
Yes,No,Between,IDL IRAF,Observational,Postdoc,Germany
Yes,No,Own,Python C Java Shell Scripting,Observational Other Data mining,Postdoc,Germany
Yes,No,Between,C,Observational,Postdoc,Germany
Yes,No,Own,Python Java C++,Observational,Postdoc,Germany
Yes,No,Between,IDL,Observational,Postdoc,Germany
Yes,No,Own,IDL Python Fortran Java,Theory,Postdoc,Germany
Yes,No,Own,Python SQL Shell Scripting Excel or other spreadsheet LaTeX,Observational,Postdoc,China
Yes,No,Between,IDL C Matlab,Observational,Postdoc,Germany
Yes,No,Between,IDL IRAF R SQL Shell Scripting Excel or other spreadsheet,Observational,Postdoc,Germany
Yes,No,Own,IRAF Python,Observational,Postdoc,Germany
Yes,No,Between,IDL Python R Shell Scripting,Observational,Postdoc,Germany
Yes,No,Between,IDL Python HTML/CSS,Observational,Postdoc,Germany
Yes,No,Between,HTML/CSS midas vo tools,Observational,Postdoc,Germany
Yes,No,Own,IDL IRAF Python R SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,No,Others,IDL Fortran Excel or other spreadsheet tex,Other,Postdoc,Netherlands
Yes,No,Between,IDL Python Fortran,Theory,Postdoc,United States of America
Yes,No,Between,IRAF Python C R Shell Scripting sm or supermongo Excel or other spreadsheet Gnuplot,Observational,Postdoc,South Korea
Yes,No,Own,Python Shell Scripting,Observational,Postdoc,Australia
Yes,No,Others,IRAF Fortran R Shell Scripting sm or supermongo,Observational,Postdoc,Poland
Yes,No,Others,Python Fortran Shell Scripting,Theory,Postdoc,Netherlands
Yes,No,Between,IDL Shell Scripting,Observational,Postdoc,Netherlands
Yes,No,Between,IDL IRAF Python R SQL Shell Scripting sm or supermongo,Observational,Postdoc,United States of America
Yes,No,Between,IRAF Python Fortran Shell Scripting MIDAS,Observational Planetary,Postdoc,United States of America
Yes,No,Own,Python,Observational,Postdoc,United Kingdom
Yes,Little,Between,IDL Python C Javascript SQL Shell Scripting HTML/CSS,Observational Theory,Postdoc,United States of America
Yes,Little,Between,Python Fortran Shell Scripting STAN,Observational,Postdoc,United Kingdom
Yes,Little,Between,Python C Excel or other spreadsheet,Observational Instrumentation,Postdoc,United States of America
Yes,Little,Between,Python Shell Scripting HTML/CSS Excel or other spreadsheet miriad,Observational,Postdoc,Australia
Yes,Little,Own,Python C Shell Scripting HTML/CSS,Theory,Postdoc,United States of America
Yes,Little,Own,Python Matlab,Observational,Postdoc,United States of America
Yes,Little,Own,Python C Fortran Shell Scripting Excel or other spreadsheet,Theory,Postdoc,United States of America
Yes,Little,Between,IDL Python C Fortran sm or supermongo,Theory,Postdoc,United States of America
Yes,Little,Between,Python Fortran R Shell Scripting,Theory,Postdoc,Germany
Yes,Little,Own,Python,Observational,Postdoc,Chile
Yes,Little,Own,Python C SQL Shell Scripting HTML/CSS,Observational Instrumentation,Postdoc,Chile
Yes,Little,Between,Python C Shell Scripting,Observational Theory,Postdoc,Chile
Yes,Little,Own,IDL Python Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Own,IDL IRAF Shell Scripting,Observational,Postdoc,Chile
Yes,Little,Between,IDL IRAF Python SQL,Observational,Postdoc,Chile
Yes,Little,Own,Python C Fortran Shell Scripting Excel or other spreadsheet,Observational Theory,Postdoc,Germany
Yes,Little,Between,Python C Fortran,Theory,Postdoc,United States of America
Yes,Little,Others,Python Shell Scripting,Theory,Postdoc,Netherlands
Yes,Little,Between,IRAF Python C Perl Shell Scripting sm or supermongo gnuplot,Observational,Postdoc,Chile
Yes,Little,Others,Python Fortran Matlab GILDAS package,Observational,Postdoc,United States of America
Yes,Little,Own,IDL IRAF Python,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python C Fortran Shell Scripting gnuplot,Theory,Postdoc,United States of America
Yes,Little,Between,IDL Python SQL Shell Scripting MongoDB,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python C Fortran,Observational Theory Instrumentation,Postdoc,United States of America
Yes,Little,Between,IRAF C Perl Shell Scripting,Observational,Postdoc,France
Yes,Little,Others,Matlab,Observational,Postdoc,Argentina
Yes,Little,Between,IDL IRAF,Observational,Postdoc,United States of America
Yes,Little,Own,Python C Fortran Shell Scripting,Observational Theory,Postdoc,Norway
Yes,Little,Others,IDL Python,Observational,Postdoc,Germany
Yes,Little,Between,Python C Fortran Shell Scripting HTML/CSS Excel or other spreadsheet,Theory,Postdoc,Germany
Yes,Little,Between,IDL Python Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Between,Python SQL Shell Scripting HTML/CSS C++,Astroparticle Physics,Postdoc,Netherlands
Yes,Little,Between,Python SQL Shell Scripting,Observational Instrumentation,Postdoc,United Kingdom
Yes,Little,Own,IDL IRAF Shell Scripting,Observational,Postdoc,Canada
Yes,Little,Between,IDL Python C Shell Scripting HTML/CSS,Observational,Postdoc,Germany
Yes,Little,Own,Matlab,Observational Theory,Postdoc,Ghana
Yes,Little,Own,R Shell Scripting ISIS/S-lang,Observational,Postdoc,United Arab Emirates
Yes,Little,Own,IDL,Observational Instrumentation,Postdoc,United States of America
Yes,Little,Own,IDL Python C Shell Scripting,Theory,Postdoc,Germany
Yes,Little,Between,Matlab Excel or other spreadsheet,Instrumentation,Postdoc,United Kingdom
Yes,Little,Between,Python C Fortran Shell Scripting Excel or other spreadsheet,Theory,Postdoc,Chile
Yes,Little,Own,IDL Python Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Own,Python Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Between,Python Shell Scripting,Observational,Postdoc,Netherlands
Yes,Little,Between,IRAF Python SQL Shell Scripting sm or supermongo Excel or other spreadsheet,Observational,Postdoc,United Kingdom
Yes,Little,Own,IDL Python HTML/CSS Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Own,IDL,Observational,Postdoc,Spain
Yes,Little,Others,C Fortran Perl Shell Scripting,Observational Theory Planetary,Postdoc,United States of America
Yes,Little,Own,IDL IRAF Python,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python Javascript Shell Scripting HTML/CSS,Observational,Postdoc,Ireland
Yes,Little,Between,IDL IRAF Python SQL Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Others,IRAF Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Own,IDL IRAF Fortran Shell Scripting,Observational,Postdoc,Swaziland
Yes,Little,Own,IDL Python Fortran Shell Scripting,Theory,Postdoc,United States of America
Yes,Little,Own,IDL Python C Shell Scripting sm or supermongo C++ Mathematica,Theory,Postdoc,United Kingdom
Yes,Little,Others,IDL IRAF Python Fortran Shell Scripting sm or supermongo,Observational,Postdoc,Germany
Yes,Little,Own,IDL C Shell Scripting,Theory,Postdoc,United States of America
Yes,Little,Own,Python Fortran Shell Scripting HTML/CSS,Theory,Postdoc,United States of America
Yes,Little,Between,Python Fortran,Observational,Postdoc,United Kingdom
Yes,Little,Between,IDL Python,Observational,Postdoc,Germany
Yes,Little,Own,IDL IRAF Fortran,Observational Theory,Postdoc,France
Yes,Little,Between,IDL HTML/CSS,Observational Instrumentation,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Python C Fortran Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Own,IDL Python Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Between,Python C Fortran Matlab R SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Theory,Postdoc,United States of America
Yes,Little,Own,IDL C Fortran,Theory,Postdoc,Chile
Yes,Little,Between,IDL Python Fortran,Observational Theory,Postdoc,United States of America
Yes,Little,Between,IDL Python C++,Observational,Postdoc,Netherlands
Yes,Little,Between,IDL Python,Observational Instrumentation,Postdoc,United Kingdom
Yes,Little,Own,IDL Python SQL Shell Scripting sm or supermongo,Observational,Postdoc,United States of America
Yes,Little,Between,IDL R,Observational,Postdoc,Chile
Yes,Little,Between,IDL IRAF Python Shell Scripting,Observational,Postdoc,Australia
Yes,Little,Between,IDL IRAF Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Shell Scripting gnuplot,Observational,Postdoc,Chile
Yes,Little,Between,IDL SQL,Observational,Postdoc,United States of America
Yes,Little,Own,Python C Shell Scripting,Theory,Postdoc,Switzerland
Yes,Little,Own,Python Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Others,IRAF C Excel or other spreadsheet,Observational Other,Postdoc,Slovakia
Yes,Little,Own,Python Shell Scripting,Observational,Postdoc,Netherlands
Yes,Little,Between,Matlab,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python C Java C++,Theory,Postdoc,United States of America
Yes,Little,Between,Python Shell Scripting HTML/CSS,Observational Planetary,Postdoc,Canada
Yes,Little,Own,IDL IRAF Python C Fortran Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Theory Instrumentation,Postdoc,United States of America
Yes,Little,Between,IRAF Python C Shell Scripting Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Own,IRAF Python,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python Fortran SQL Shell Scripting,Observational,Postdoc,United Kingdom
Yes,Little,Between,IRAF Python Shell Scripting gnuplot,Observational,Postdoc,Chile
Yes,Little,Own,Python R Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Own,Python C,Theory,Postdoc,Germany
Yes,Little,Own,Python,Observational,Postdoc,Brazil
Yes,Little,Between,Python C Fortran,Observational,Postdoc,United Kingdom
Yes,Little,Between,Python R Yorick,Observational,Postdoc,Australia
Yes,Little,Between,Python C Fortran R Shell Scripting,Theory,Postdoc,Australia
Yes,Little,Own,IDL Python C Fortran Perl HTML/CSS C++,Theory,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Python C Fortran R,Observational,Postdoc,United Kingdom
Yes,Little,Own,IDL IRAF Python C,Theory,Postdoc,Germany
Yes,Little,Own,IDL,Observational,Postdoc,United States of America
Yes,Little,Own,Python Perl Shell Scripting C++ gnuplot,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Python C,Theory,Postdoc,Australia
Yes,Little,Own,IDL Python Fortran,Theory,Postdoc,United States of America
Yes,Little,Between,IDL Python C Fortran Shell Scripting,Theory,Postdoc,Canada
Yes,Little,Own,Python C,Theory,Postdoc,United States of America
Yes,Little,Between,Python,,Postdoc,United Kingdom
Yes,Little,Between,IDL C Fortran Shell Scripting,Theory,Postdoc,Netherlands
Yes,Little,Between,IRAF Fortran Shell Scripting sm or supermongo,Observational,Postdoc,United States of America
Yes,Little,Own,C Fortran Shell Scripting,Theory,Postdoc,Australia
Yes,Little,Own,IDL Python,Observational,Postdoc,United States of America
Yes,Little,Between,Python,Observational,Postdoc,Spain
Yes,Little,Between,Python C Fortran Mathematica,Theory Astroparticle physics,Postdoc,United States of America
Yes,Little,Own,IDL Python C++,Observational Instrumentation,Postdoc,United Kingdom
Yes,Little,Between,IDL SQL,Observational,Postdoc,Japan
Yes,Little,Own,IDL Python C Fortran Shell Scripting,Theory,Postdoc,Germany
Yes,Little,Own,Python C R Shell Scripting,Observational Theory,Postdoc,United States of America
Yes,Little,Between,IDL R Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Between,IDL Shell Scripting,Observational,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Fortran Perl sm or supermongo Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Fortran Shell Scripting Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Little,Own,IDL Python Perl SQL Shell Scripting sm or supermongo,Observational,Postdoc,United States of America
Yes,Little,Own,Python Fortran Shell Scripting HTML/CSS gnuplot,Planetary,Postdoc,Argentina
Yes,Little,Between,IDL,Observational,Postdoc,Germany
Yes,Little,Between,IDL,Observational,Postdoc,Australia
Yes,Little,Between,IDL Python Shell Scripting,Observational,Postdoc,United Kingdom
Yes,Little,Others,Python C C++,Other,Postdoc,Germany
Yes,Little,Between,Python Matlab Shell Scripting CASA Miriad,Observational,Postdoc,United States of America
Yes,Little,Own,IDL Shell Scripting,Observational Theory,Postdoc,Italy
Yes,Little,Own,IDL Python Fortran,Theory,Postdoc,Australia
Yes,Little,Own,IDL Python Fortran Shell Scripting,Theory,Postdoc,Denmark
Yes,Little,Between,Python C,Theory,Postdoc,Switzerland
Yes,Little,Between,IDL Python Fortran R SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Postdoc,Lithuania
Yes,Little,Own,IDL IRAF Fortran Shell Scripting,Observational,Postdoc,Germany
Yes,Little,Own,IDL Python C Shell Scripting C++,Theory,Postdoc,Italy
Yes,Little,Between,IDL C,Theory Planetary,Postdoc,United States of America
Yes,Little,Own,IRAF Python Fortran Shell Scripting,Observational Instrumentation,Postdoc,Chile
Yes,Little,Between,IDL Python C Fortran Shell Scripting,Theory,Postdoc,Sweden
Yes,Little,Others,IDL,Observational,Postdoc,United Kingdom
Yes,Little,Own,Python C Perl,Theory,Postdoc,Argentina
Yes,Little,Between,IDL SQL HTML/CSS Excel or other spreadsheet,Observational,Postdoc,United Kingdom
Yes,Little,Between,Fortran Matlab Shell Scripting,Theory,Postdoc,Portugal
Yes,Little,Between,IDL,Observational,Postdoc,United Kingdom
Yes,Little,Between,IDL Matlab,Observational Theory,Postdoc,Poland
Yes,Little,Own,IDL Python Fortran,Observational Theory,Postdoc,Germany
Yes,Little,Others,Python Fortran Excel or other spreadsheet,Observational,Postdoc,Ireland
Yes,Little,Between,IRAF Python C Perl sm or supermongo,Observational,Postdoc,Germany
Yes,Little,Own,IDL Python,Observational,Postdoc,Spain
Yes,Little,Own,IRAF sm or supermongo,Observational,Postdoc,Germany
Yes,Little,Between,Python C Shell Scripting sm or supermongo Excel or other spreadsheet,Theory,Postdoc,United States of America
Yes,Little,Others,Python C Julia,Observational,Postdoc,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Postdoc,United States of America
Yes,Little,Between,IDL IRAF Shell Scripting,Observational,Postdoc,Argentina
Yes,Little,Own,Python C Fortran Shell Scripting,Theory,Postdoc,Sweden
Yes,Little,Own,IDL Python SQL Shell Scripting,Observational Planetary Other,Postdoc,United States of America
Yes,Little,Others,IDL,Observational,Postdoc,United States of America
Yes,Little,Between,Python Shell Scripting S-lang,Observational Theory,Postdoc,United States of America
Yes,Little,Between,Python Shell Scripting tcl,Observational,Postdoc,Netherlands
Yes,Little,Between,Python C Shell Scripting,Observational,Postdoc,Australia
Yes,Little,Own,Python C Fortran C++,Observational Theory,Postdoc,United States of America
Yes,Little,Own,C Shell Scripting awk,Theory,Postdoc,United Kingdom
Yes,Little,Between,IDL Python Shell Scripting,Theory,Postdoc,United States of America
Yes,Little,Own,IDL,Observational,Postdoc,Germany
Yes,Little,Own,Python Shell Scripting,Theory,Postdoc,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Observational Theory,Postdoc,United Kingdom
Yes,Little,Between,Python C SQL HTML/CSS,Observational,Postdoc,United States of America
Yes,Little,Own,Fortran sm or supermongo,Theory,Postdoc,Germany
Yes,Little,Between,IDL Python sm or supermongo,Observational,Postdoc,Italy
Yes,Little,Between,Python Fortran,Theory,Postdoc,Germany
Yes,Little,Between,IDL Python C Shell Scripting HTML/CSS,Observational,Postdoc,Germany
Yes,Little,Own,IRAF SQL sm or supermongo,Observational,Postdoc,Germany
Yes,Little,Own,Python C C++,Theory Instrumentation,Postdoc,Germany
Yes,Little,Own,IDL IRAF Python R Shell Scripting,Observational,Postdoc,Germany
Yes,Little,Between,Python C Shell Scripting,Theory,Postdoc,Germany
Yes,Little,Between,Python C Java SQL Shell Scripting,Observational Instrumentation,Postdoc,Germany
Yes,Little,Between,IRAF Python C Fortran Javascript R SQL Shell Scripting HTML/CSS C++,Observational Theory,Postdoc,United Kingdom
Yes,Little,Between,Python C Shell Scripting,Observational Theory,Postdoc,Australia
Yes,Little,Own,IDL Python C Fortran Shell Scripting,Theory,Postdoc,United Kingdom
Yes,Little,Own,"Fortran Shell Scripting MIDAS -- the ancient ""European"" IRAF",Observational,Postdoc,United States of America
Yes,Little,Own,IDL Fortran,Theory,Postdoc,Israel
Yes,Little,Between,Python Excel or other spreadsheet,Instrumentation,Postdoc,Germany
Yes,Little,Own,IRAF Python C Fortran Shell Scripting sm or supermongo awk,Observational,Postdoc,United States of America
Yes,Little,Between,Python Excel or other spreadsheet C++,Observational,Postdoc,Germany
Yes,Yes,Own,IRAF Python C SQL,Observational Theory,Postdoc,United States of America
Yes,Yes,Between,Python Fortran Shell Scripting,Theory,Postdoc,Germany
Yes,Yes,Between,Python C Shell Scripting,Theory,Postdoc,United States of America
Yes,Yes,Own,Python C Fortran Shell Scripting Mathematica,Theory,Postdoc,United States of America
Yes,Yes,Between,Python C Shell Scripting Mathematica,Observational,Postdoc,South Africa
Yes,Yes,Between,Python Javascript SQL Shell Scripting HTML/CSS,Observational,Postdoc,United Kingdom
Yes,Yes,Between,IDL Python,Observational,Postdoc,Germany
Yes,Yes,Between,Python Perl Matlab Shell Scripting sm or supermongo C++,Theory,Postdoc,Canada
Yes,Yes,Between,IDL Python,Observational,Postdoc,United States of America
Yes,Yes,Between,IRAF Python Shell Scripting Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,Yes,Own,Shell Scripting C++,Observational,Postdoc,Netherlands
Yes,Yes,Own,IRAF Matlab Excel or other spreadsheet,Observational,Postdoc,Switzerland
Yes,Yes,Own,Python C Shell Scripting,Observational,Postdoc,Germany
Yes,Yes,Between,Python C Javascript SQL Shell Scripting,Observational,Postdoc,United States of America
Yes,Yes,Own,Python C Fortran Perl Shell Scripting,Observational Theory,Postdoc,Netherlands
Yes,Yes,Between,IDL Python C Fortran Shell Scripting,Observational Theory,Postdoc,Australia
Yes,Yes,Own,Python Shell Scripting awk,Observational,Postdoc,Poland
Yes,Yes,Between,Python C Shell Scripting,Theory,Postdoc,Italy
Yes,Yes,Between,Python C Shell Scripting C# (for data viz & edu tools),Observational,Postdoc,Germany
Yes,Yes,Own,C Matlab,Observational Instrumentation,Postdoc,United States of America
Yes,Yes,Own,IDL Python C Fortran Matlab R SQL,Observational Theory,Postdoc,United Kingdom
Yes,Yes,Between,Python Shell Scripting,Observational,Postdoc,Germany
Yes,Yes,Between,Python Javascript SQL Shell Scripting HTML/CSS,Observational Instrumentation,Postdoc,Australia
Yes,Yes,Others,IRAF Python,Observational,Postdoc,United Kingdom
Yes,Yes,Between,Python,Observational Theory,Postdoc,Germany
Yes,Yes,Own,Python C Fortran Shell Scripting,Observational,Postdoc,Germany
Yes,Yes,Own,IDL Python Shell Scripting,Observational,Postdoc,Germany
Yes,Yes,Between,Python C sm or supermongo,Observational,Postdoc,Portugal
Yes,Yes,Own,IRAF Python C Shell Scripting,Observational Theory,Postdoc,United States of America
Yes,No,Others,,Planetary,Research assistant,United States of America
Yes,No,Between,C SQL Shell Scripting CERN ROOT package,Observational,Research scientist,United States of America
Yes,No,Between,Python C SQL Shell Scripting,Observational,Research scientist,Germany
Yes,No,Own,IDL Fortran Shell Scripting,Theory,Research scientist,Germany
Yes,No,Between,IRAF C Shell Scripting Excel or other spreadsheet Mathematica root,Observational,Research scientist,Germany
Yes,No,Own,Python Fortran Java R SQL,Observational,Research scientist,United States of America
Yes,No,Between,Python C Fortran Shell Scripting,Observational Theory,Research scientist,Germany
Yes,No,Between,Fortran Shell Scripting,Observational Theory,Research scientist,Hungary
Yes,No,Between,Shell Scripting HTML/CSS S-lang,Observational Theory Instrumentation,Research scientist,United States of America
Yes,No,Between,C Perl Shell Scripting,Observational,Research scientist,United States of America
Yes,No,Between,IDL Perl SQL HTML/CSS,Observational,Research scientist,Germany
Yes,No,Own,IDL C SQL Shell Scripting C++,Observational,Research scientist,United States of America
Yes,No,Between,IDL Python C,Observational Instrumentation,Research scientist,United Kingdom
Yes,No,Own,IDL C Shell Scripting,Instrumentation,Research scientist,United States of America
Yes,No,Between,C Matlab Shell Scripting Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,No,Between,Fortran Shell Scripting,Planetary,Research scientist,United States of America
Yes,No,Between,IRAF R Shell Scripting XMM-SAS ftools ds9 CIAO,Observational,Research scientist,Italy
Yes,No,Between,IDL Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,No,Others,Python C Shell Scripting,Observational,Research scientist,France
Yes,No,Between,IRAF Python C Fortran Mathematica,Observational Theory,Research scientist,Netherlands
Yes,No,Between,Python C Perl,Observational,Research scientist,Russia
Yes,No,Between,IDL C Fortran Shell Scripting,Observational,Research scientist,United States of America
Yes,No,Between,IRAF Fortran HTML/CSS sm or supermongo Excel or other spreadsheet,Observational Planetary,Research scientist,United States of America
Yes,No,Between,Python C Perl Shell Scripting HTML/CSS sm or supermongo,Observational,Research scientist,United States of America
Yes,No,Own,IRAF Python Matlab R Excel or other spreadsheet,Observational Theory,Research scientist,
Yes,No,Between,C Fortran sm or supermongo,Observational,Research scientist,United States of America
Yes,No,Between,IDL,Instrumentation,Research scientist,
Yes,No,Between,IDL Python Shell Scripting HTML/CSS,Observational,Research scientist,United States of America
Yes,No,Own,Python,Observational Theory,Research scientist,United States of America
Yes,No,Others,Shell Scripting sm or supermongo,Observational,Research scientist,Australia
Yes,No,Own,IDL,Observational,Research scientist,United States of America
Yes,No,Own,IDL IRAF C++,Observational,Research scientist,Sweden
Yes,No,Between,IDL IRAF Python R sm or supermongo STILTS,Observational,Research scientist,Mexico
Yes,No,Between,IDL Python,Observational,Research scientist,Russia
Yes,No,Others,C Excel or other spreadsheet Mathematica,Observational Astroparticle physics,Research scientist,Germany
Yes,No,Between,IDL HTML/CSS Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,No,Between,IRAF Python Perl SQL Shell Scripting,Archive Scientist,Research scientist,Canada
Yes,No,Between,IDL Excel or other spreadsheet,Observational Instrumentation,Research scientist,United States of America
Yes,No,Own,C Shell Scripting C++,Observational Instrumentation,Research scientist,United States of America
Yes,No,Between,Python,Observational,Research scientist,United States of America
Yes,No,Own,IDL IRAF Fortran SQL Shell Scripting,Observational,Research scientist,United States of America
Yes,No,Own,Python C++,Observational,Research scientist,United States of America
Yes,No,Own,Fortran sm or supermongo,Other,Research scientist,Argentina
Yes,No,Between,IDL SQL HTML/CSS,Observational,Research scientist,United States of America
Yes,No,Between,IDL C Fortran Perl,Theory,Research scientist,Germany
Yes,No,Between,Python C Fortran HTML/CSS sm or supermongo,Theory,Research scientist,Argentina
Yes,No,Between,Python Shell Scripting,Observational,Research scientist,United States of America
Yes,No,Between,IDL,Observational,Research scientist,
Yes,No,Between,Python Perl,Observational Instrumentation,Research scientist,Belgium
Yes,No,Between,C Perl R SQL Shell Scripting ROOT,Observational,Research scientist,Germany
Yes,No,Between,IDL Python C HTML/CSS,Observational,Research scientist,United States of America
Yes,No,Between,IDL,Observational Instrumentation,Research scientist,Austria
Yes,No,Own,IDL Fortran Shell Scripting,Observational Theory,Research scientist,United Kingdom
Yes,No,Between,Python Shell Scripting C++,Instrumentation,Research scientist,United States of America
Yes,No,Between,IRAF Python C Fortran Perl Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Instrumentation Planetary,Research scientist,United States of America
Yes,No,Between,IRAF Labview,Instrumentation,Research scientist,United States of America
Yes,No,Between,Python Matlab Shell Scripting C++,Theory,Research scientist,United States of America
Yes,No,Between,Python C Shell Scripting tcl,Observational,Research scientist,Germany
Yes,No,Between,IRAF Python Shell Scripting sm or supermongo,Observational,Research scientist,Spain
Yes,No,Others,IDL Python Jython,Observational Instrumentation,Research scientist,Germany
Yes,No,Between,IRAF Fortran gildas,Observational,Research scientist,Germany
Yes,No,Between,IDL,Observational Instrumentation,Research scientist,Germany
Yes,No,Own,IDL Shell Scripting,Observational,Research scientist,Germany
Yes,No,Between,IDL Fortran Shell Scripting,Observational,Research scientist,Netherlands
Yes,No,Own,Python C,Cosmology,Research scientist,Germany
Yes,No,Between,Python C Fortran Shell Scripting sm or supermongo awk,Observational,Research scientist,Germany
Yes,No,Between,IRAF Fortran sm or supermongo,Observational,Research scientist,Argentina
Yes,No,Between,IDL,Observational Theory,Research scientist,Australia
Yes,No,Between,Python C R Shell Scripting,Planetary,Research scientist,Korea South
Yes,No,Own,Fortran,Theory,Research scientist,Israel
Yes,No,Others,Perl Shell Scripting HTML/CSS,Planetary,Research scientist,United States of America
Yes,No,Between,IDL Fortran Matlab Shell Scripting,Planetary,Research scientist,United States of America
Yes,No,Others,,Planetary,Research scientist,United States of America
Yes,No,Own,Fortran Shell Scripting yorick,Theory,Research scientist,Chile
Yes,No,Between,Python Perl Shell Scripting Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,No,Between,Python C Fortran Perl SQL,Observational,Research scientist,United States of America
Yes,No,Between,Python C,Astrostatistics,Research scientist,United States of America
Yes,Little,Between,Python C Javascript Shell Scripting HTML/CSS,Theory,Research scientist,United States of America
Yes,Little,Between,IDL Fortran,Observational,Research scientist,United States of America
Yes,Little,Between,IDL,Observational,Research scientist,United States of America
Yes,Little,Between,Python C Matlab Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,Little,Between,IRAF Python Shell Scripting HTML/CSS,Observational,Research scientist,United States of America
Yes,Little,Own,IRAF Python C Shell Scripting C++,Observational,Research scientist,Germany
Yes,Little,Between,IDL IRAF Python,Observational,Research scientist,United States of America
Yes,Little,Between,IDL IRAF Python Fortran Shell Scripting sm or supermongo,Observational,Research scientist,United States of America
Yes,Little,Own,IRAF Python C SQL Shell Scripting HTML/CSS,Observational Instrumentation,Research scientist,
Yes,Little,Between,Python,Observational,Research scientist,United States of America
Yes,Little,Others,Python C Shell Scripting HTML/CSS,Observational,Research scientist,Netherlands
Yes,Little,Between,Python Perl Javascript Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,Little,Between,C++,Theory,Research scientist,United States of America
Yes,Little,Between,IDL SQL Shell Scripting,Observational,Research scientist,United States of America
Yes,Little,Own,IDL Python SQL Shell Scripting,Observational,Research scientist,United States of America
Yes,Little,Own,IRAF C R Shell Scripting within shell scripting: awk sed,Observational Theory,Research scientist,United States of America
Yes,Little,Own,IDL IRAF C SQL Excel or other spreadsheet Wavemetrics Igor,Observational,Research scientist,United States of America
Yes,Little,Own,IDL,Observational Instrumentation,Research scientist,United States of America
Yes,Little,Between,Fortran Matlab Mathematica,Planetary,Research scientist,United States of America
Yes,Little,Own,Python Matlab SQL Shell Scripting c++,Theory,Research scientist,United States of America
Yes,Little,Between,IDL Python Excel or other spreadsheet,Observational Instrumentation,Research scientist,United States of America
Yes,Little,Own,Python C Shell Scripting,Observational,Research scientist,Italy
Yes,Little,Own,Python SQL HTML/CSS,Observational Planetary,Research scientist,United States of America
